race_id,url,table_index,table_type,row_count,assigned_parser,detector_score
472924,https://ca.milesplit.com/meets/248251-43rd-annual-bell-jeffloyola-invitational-2016/results/472924/formatted/,1,individual,142,katie_fallback,
472924,https://ca.milesplit.com/meets/248251-43rd-annual-bell-jeffloyola-invitational-2016/results/472924/formatted/,2,team,12,katie_fallback,
469531,https://ca.milesplit.com/meets/252574-sunbelt-league-cluster-1-2016/results/469531/formatted/,1,individual,40,katie_fallback,
469531,https://ca.milesplit.com/meets/252574-sunbelt-league-cluster-1-2016/results/469531/formatted/,2,team,6,katie_fallback,
463041,https://ca.milesplit.com/meets/248220-cool-breeze-evening-invitational-2016/results/463041/formatted/,1,individual,230,katie_fallback,
463041,https://ca.milesplit.com/meets/248220-cool-breeze-evening-invitational-2016/results/463041/formatted/,2,team,20,katie_fallback,
463041,https://ca.milesplit.com/meets/248220-cool-breeze-evening-invitational-2016/results/463041/formatted/,3,individual,1,katie_fallback,
490597,https://ky.milesplit.com/meets/256075-cross-country-coaches-national-youth-championships-2016/results/490597/formatted/,1,individual,37,katie_fallback,
490597,https://ky.milesplit.com/meets/256075-cross-country-coaches-national-youth-championships-2016/results/490597/formatted/,2,team,3,katie_fallback,
470361,https://ca.milesplit.com/meets/252803-bval-antioch-freedom-2016/results/470361/formatted/,1,individual,19,katie_fallback,
470361,https://ca.milesplit.com/meets/252803-bval-antioch-freedom-2016/results/470361/formatted/,2,team,2,katie_fallback,
479439,https://ca.milesplit.com/meets/254698-bravo-vs-maywood-2016/results/479439/formatted/,1,individual,15,katie_fallback,
479439,https://ca.milesplit.com/meets/254698-bravo-vs-maywood-2016/results/479439/formatted/,2,team,2,katie_fallback,
468690,https://ca.milesplit.com/meets/242966-woodbridge-cross-country-classic-2016/results/468690/formatted/,1,individual,350,katie_fallback,
468690,https://ca.milesplit.com/meets/242966-woodbridge-cross-country-classic-2016/results/468690/formatted/,2,team,28,katie_fallback,
489801,https://ca.milesplit.com/meets/257516-baseline-league-finals-2016/results/489801/formatted/,1,individual,94,katie_fallback,
489801,https://ca.milesplit.com/meets/257516-baseline-league-finals-2016/results/489801/formatted/,2,team,6,katie_fallback,
489906,https://ca.milesplit.com/meets/248294-cif-southern-section-finals-2016/results/489906/formatted/,1,individual,175,katie_fallback,
489906,https://ca.milesplit.com/meets/248294-cif-southern-section-finals-2016/results/489906/formatted/,2,team,24,katie_fallback,
484329,https://ca.milesplit.com/meets/228891-mt-sac-xc-invitational-2016/results/484329/formatted/,1,individual,82,katie_fallback,
484329,https://ca.milesplit.com/meets/228891-mt-sac-xc-invitational-2016/results/484329/formatted/,2,team,12,katie_fallback,
489308,https://ca.milesplit.com/meets/248285-cif-la-city-prelims-2016/results/489308/formatted/,1,individual,62,katie_fallback,
489308,https://ca.milesplit.com/meets/248285-cif-la-city-prelims-2016/results/489308/formatted/,2,team,9,katie_fallback,
484135,https://ca.milesplit.com/meets/228891-mt-sac-xc-invitational-2016/results/484135/formatted/,1,individual,110,katie_fallback,
484135,https://ca.milesplit.com/meets/228891-mt-sac-xc-invitational-2016/results/484135/formatted/,2,team,17,katie_fallback,
490605,https://ky.milesplit.com/meets/256075-cross-country-coaches-national-youth-championships-2016/results/490605/formatted/,,cole,0,cole,1.0
486342,https://ca.milesplit.com/meets/256394-trinity-invitational-2016/results/486342/formatted/,1,individual,35,katie_fallback,
486342,https://ca.milesplit.com/meets/256394-trinity-invitational-2016/results/486342/formatted/,2,team,2,katie_fallback,
486342,https://ca.milesplit.com/meets/256394-trinity-invitational-2016/results/486342/formatted/,3,individual,19,katie_fallback,
486342,https://ca.milesplit.com/meets/256394-trinity-invitational-2016/results/486342/formatted/,4,team,2,katie_fallback,
490404,https://www.milesplit.com/meets/242981-foot-locker-west-regional-2016/results/490404/formatted/,1,individual,138,katie_fallback,
490404,https://www.milesplit.com/meets/242981-foot-locker-west-regional-2016/results/490404/formatted/,2,team,5,katie_fallback,
473980,https://ca.milesplit.com/meets/253432-tcal-center-meet-2-2016/results/473980/formatted/,1,individual,73,katie_fallback,
473980,https://ca.milesplit.com/meets/253432-tcal-center-meet-2-2016/results/473980/formatted/,2,team,6,katie_fallback,
486672,https://ca.milesplit.com/meets/256469-coastal-league-cluster-2-2016/results/486672/formatted/,1,individual,51,katie_fallback,
486672,https://ca.milesplit.com/meets/256469-coastal-league-cluster-2-2016/results/486672/formatted/,2,team,4,katie_fallback,
470673,https://ca.milesplit.com/meets/252865-camino-del-rey-association-2016/results/470673/formatted/,1,individual,68,katie_fallback,
470673,https://ca.milesplit.com/meets/252865-camino-del-rey-association-2016/results/470673/formatted/,2,team,7,katie_fallback,
484123,https://ca.milesplit.com/meets/228891-mt-sac-xc-invitational-2016/results/484123/formatted/,1,individual,142,katie_fallback,
484123,https://ca.milesplit.com/meets/228891-mt-sac-xc-invitational-2016/results/484123/formatted/,2,team,18,katie_fallback,
474439,https://ca.milesplit.com/meets/253616-palomar-cluster-1-2016/results/474439/formatted/,1,individual,59,katie_fallback,
474439,https://ca.milesplit.com/meets/253616-palomar-cluster-1-2016/results/474439/formatted/,2,team,6,katie_fallback,
